model,language,sample_size,distribution,accuracy_mean,accuracy_std,accuracy_ci_lower,accuracy_ci_upper,precision_mean,precision_std,precision_ci_lower,precision_ci_upper,recall_mean,recall_std,recall_ci_lower,recall_ci_upper,f1_mean,f1_std,f1_ci_lower,f1_ci_upper
Llama3-8B-Arabic,arabic,700,0.7000000000000001,0.7544214285714286,0.012332632587189663,0.7526974709122516,0.7561453862306056,0.8585294463464388,0.010970065335919153,0.8569959596375933,0.8600629330552843,0.7773775510204081,0.013313534776555922,0.775516474718451,0.7792386273223652,0.815866285876365,0.009674218460878875,0.8145139433903408,0.8172186283623892
Llama3-8B-Arabic,arabic,700,0.7500000000000001,0.7574142857142857,0.012950762328834516,0.7556039207535906,0.7592246506749808,0.8865391047289939,0.010503180804291587,0.8850708830119141,0.8880073264460737,0.7759428571428572,0.013435405218253923,0.774064744779872,0.7778209695058423,0.8274900731603663,0.0097244111450607,0.8261307143246926,0.8288494319960399
Llama3-8B-Arabic,arabic,700,0.8,0.7615999999999999,0.011412989377486173,0.7600045976953971,0.7631954023046028,0.9118252253734818,0.009351915119571183,0.9105179371214094,0.9131325136255541,0.77725,0.01236823408113358,0.7755210656687517,0.7789789343312483,0.8391023787122072,0.008251223596946541,0.8379489542493465,0.8402558031750679
Llama3-8B-Arabic,arabic,700,0.8500000000000001,0.7667714285714285,0.011045582735156333,0.7652273854142421,0.768315471728615,0.9364558798079864,0.008581178978228556,0.9352563314455669,0.9376554281704059,0.7785042016806724,0.010912197484970293,0.7769788042199383,0.7800295991414065,0.850149740722305,0.007551978037947154,0.8490940626026163,0.8512054188419936
Llama3-8B-Arabic,arabic,700,0.9000000000000001,0.7701357142857143,0.01126815768220433,0.7685605577565862,0.7717108708148424,0.9588913270263965,0.007062628389727629,0.9579040542587768,0.9598785997940161,0.777984126984127,0.010889293805234547,0.7764619311896895,0.7795063227785645,0.85896747348167,0.007476710886554792,0.8579223168286034,0.8600126301347366
Llama3-8B-Arabic,arabic,700,0.9500000000000001,0.7728785714285715,0.010602731165283088,0.7713964337364481,0.774360709120695,0.9800286612663354,0.005148498023941091,0.9793089615153795,0.9807483610172912,0.7767744360902256,0.0104505300851408,0.775313574327308,0.7782352978531432,0.866600040060371,0.006863003656745026,0.8656406724934417,0.8675594076273002
Llama3-8B-Arabic,english,300,0.05,0.6817333333333333,0.023435395831472066,0.6784573393511988,0.6850093273154678,0.1179958729339278,0.015004166390366438,0.11589846612436258,0.12009327974349301,0.8250000000000002,0.0950876788373061,0.8117078556775293,0.838292144322471,0.20636968505387,0.025573623892154743,0.20279479182080745,0.20994457828693253
Llama3-8B-Arabic,english,300,0.1,0.6892333333333334,0.022624249527148227,0.6860707281085598,0.6923959385581069,0.21872086168131055,0.01961893337461578,0.2159783644718191,0.22146335889080201,0.8166666666666668,0.07340905181848416,0.806404940612584,0.8269283927207495,0.3448034754723903,0.02958822712438226,0.3406673877058959,0.34893956323888475
Llama3-8B-Arabic,english,300,0.15000000000000002,0.6947166666666666,0.025279059186079953,0.691182950131083,0.6982503832022503,0.30636975261796473,0.024144299043117903,0.302994662265879,0.30974484297005045,0.8135555555555556,0.056428256646366,0.8056675458745931,0.8214435652365181,0.4447656619990808,0.03144873780665203,0.44036949661995956,0.44916182737820204
Llama3-8B-Arabic,english,300,0.2,0.7027,0.022633284241478424,0.6995361318279314,0.7058638681720686,0.3859796640150982,0.022818419696639208,0.3827899160737546,0.3891694119564418,0.8166666666666665,0.04651761912317621,0.8101640480889124,0.8231692852444207,0.5237884021123368,0.026736089224843843,0.5200510098345935,0.5275257943900801
